effective_date,provider,metric_type,subject,value,unit,confidence,notes,source
2023-11,OpenAI,platform_throughput,API total,300,tokens_per_min_M,high,"DevDay 2023 baseline: 300M tokens/min ≈ 432B tokens/day; later cited by Nick Turley 2025-10-06","https://x.com/nickaturley/status/1975262699270656224"
2024-02,OpenAI,platform_throughput,all_products,100,words_per_day_B,high,"Sam Altman tweet: ~100B words/day total ≈ 130-150B tokens/day; ""all people on earth generate about 100T words/day""","https://x.com/sama/status/1756089361609981993"
2024-04,Google,platform_throughput,all_products_and_API,9.7,tokens_per_month_T,high,"Cited by Pichai at I/O 2025 as one-year-ago baseline","https://blog.google/innovation-and-ai/technology/ai/io-2025-keynote/"
2025-04,Microsoft,platform_throughput,Azure_Foundry,100,tokens_per_quarter_T,high,"FY25 Q3 earnings: 100T/quarter, 5x YoY, 50T in April alone","https://tomtunguz.com/earnings-microsoft-2025-04-30/"
2025-05,Google,platform_throughput,all_products_and_API,480,tokens_per_month_T,high,"I/O 2025 keynote: 480T/month, 50x YoY","https://blog.google/innovation-and-ai/technology/ai/io-2025-keynote/"
2025-07,Google,platform_throughput,all_products_and_API,980,tokens_per_month_T,high,"Alphabet Q2 2025 earnings, Sundar Pichai tweet","https://x.com/sundarpichai/status/1948122338538439077"
2025-10,OpenAI,platform_throughput,API,6,tokens_per_min_B,high,"DevDay 2025: API now 6B tokens/min ≈ 8.64T/day; 20x growth vs 2023-11 baseline","https://x.com/btibor91/status/1975285391373566414"
2025-11,Aggregator,platform_throughput,all_LLM_API_market_est,1500,tokens_per_month_T,medium,"Fireworks AI estimate: ~50T/day total LLM API market","https://fireworks.ai/blog/state-of-agent-environments"
2026-05,Google,platform_throughput,all_products_and_API,3200,tokens_per_month_T,flag,"I/O 2026 keynote: 3.2 quadrillion/month, 7x YoY; secondary report (Gigazine/Shacknews)","https://blog.google/innovation-and-ai/sundar-pichai-io-2026/"
2023-12,OpenRouter,per_request,all_models_prompt_avg,2000,tokens,medium,"Late 2023 average sequence length; OpenRouter aggregated","https://openrouter.ai/state-of-ai"
2025-12,OpenRouter,per_request,all_models_prompt_avg,6000,tokens,high,"Late 2025 average prompt; 4x growth vs late 2023","https://openrouter.ai/state-of-ai"
2023-12,OpenRouter,per_request,all_models_completion_avg,150,tokens,medium,"Late 2023 completion average","https://openrouter.ai/state-of-ai"
2025-12,OpenRouter,per_request,all_models_completion_avg,400,tokens,high,"Late 2025; nearly 3x vs late 2023","https://openrouter.ai/state-of-ai"
2025-12,OpenRouter,per_request,programming_prompt_ratio_vs_general,3.5,ratio_x,high,"Programming prompts systematically 3-4x longer than general-purpose","https://openrouter.ai/state-of-ai"
2025-12,OpenRouter,per_request,total_sequence_avg,5400,tokens,high,"Late 2025 prompt+completion combined average; 3x vs <2000 in late 2023","https://openrouter.ai/state-of-ai"
2020-06,OpenAI,per_task,GPT-3_API_call_typical,500,tokens,flag,"GPT-3 era estimate; no official OpenAI figure published. GPT-3 model context max = 2049","estimate"
2024-06,public_share_analysis,per_task,ChatGPT_session_avg,600,tokens,medium,"WebFX analysis of 13252 public-shared ChatGPT conversations: 348 words / 1.7 messages per session (~600 tokens)","https://www.webfx.com/blog/ai/chatgpt-usage-statistics/"
2025-06,third_party_benchmark,per_task,Claude_Code_task_same_target,33000,tokens,medium,"Sitepoint benchmark: Claude Code 33K tokens vs Cursor 188K for identical task","https://www.sitepoint.com/claude-code-vs-cursor-developer-benchmark-2026/"
2025-06,third_party_benchmark,per_task,Cursor_task_same_target,188000,tokens,medium,"Same task as Claude Code 33K row; 5.5x more tokens","https://www.sitepoint.com/claude-code-vs-cursor-developer-benchmark-2026/"
2025-09,community_estimate,per_task,Claude_Code_session_avg,750000,tokens,flag,"Empirical 500K-1M range estimate; not Anthropic-official","https://shipyard.build/blog/claude-code-track-usage/"
2025-09,calculation,per_task,OpenAI_Deep_Research_query,400000,tokens,flag,"Backed out from o3-deep-research $1.50-8.00 per query; 15-40 web sources, 2K-5K word output","https://tokenmix.ai/blog/openai-deep-research-api"
2025-11,OpenRouter,per_task,coding_agent_tool_calls_per_week,42.2,calls_per_week_M,high,"42.2M tool calls/week on OpenRouter for coding agents","https://fireworks.ai/blog/state-of-agent-environments"
2025-08,Anthropic,per_user,Claude_Code_per_dev_per_day_USD,13,USD_per_day,high,"Anthropic-official: $13/dev/active day at Sonnet 4 price (~1-2M tokens/dev/day); 90% < $30","https://finance.yahoo.com/sectors/technology/articles/anthropic-quietly-doubles-estimate-much-220101627.html"
2025-11,Menlo_Ventures,per_user,enterprise_token_usage_growth,320,x_baseline_unclear,flag,"320x growth in enterprise token use; baseline year not stated in摘要","https://menlovc.com/perspective/2025-the-state-of-generative-ai-in-the-enterprise/"
2023-07,Stanford,context_usage,effective_context_ratio,0.65,ratio,medium,"Liu et al. ""Lost in the Middle"": ~60-70% effective context; mid-range info ignored","https://arxiv.org/abs/2307.03172"
2025-12,OpenRouter,context_usage,avg_seq_vs_advertised_1M,0.005,ratio,high,"5.4K avg sequence / 1M advertised context = 0.5% utilization","https://openrouter.ai/state-of-ai"
2026-04,community_estimate,context_usage,Claude_Code_1M_session_usage,0.05,ratio,flag,"Individual developer report: ~5% of 1M context used in Claude Code session","https://medium.com/@samarthgupta1911"
